# run_started_at	20260521_044226
# arg	batch_size	12
# arg	bbh_task	"boolean_expressions"
# arg	bf16	0
# arg	block_size	192
# arg	bnb_4bit_compute_dtype	"float16"
# arg	bnb_4bit_quant_type	"nf4"
# arg	bnb_4bit_use_double_quant	1
# arg	dataset	"arc-e"
# arg	device	"cuda"
# arg	epochs	3
# arg	eval_dataset	"arc-e"
# arg	eval_every	3000
# arg	eval_max_samples	400
# arg	eval_split	"validation"
# arg	fp16	0
# arg	grad_accum	1
# arg	gradient_checkpointing	0
# arg	init_new_router_from_legacy	1
# arg	llm_int8_threshold	6.0
# arg	load_in_4bit	0
# arg	load_in_8bit	0
# arg	load_in_fp16	0
# arg	log_every	50
# arg	lora_alpha	16
# arg	lora_dropout	0.05
# arg	lora_r	16
# arg	lora_target_modules	""
# arg	lr	5e-05
# arg	max_grad_norm	1.0
# arg	min_lr_ratio	0.1
# arg	mix_datasets	"piqa,siqa"
# arg	mmlu_answer_mode	"text"
# arg	mmlu_subjects	"all"
# arg	model_path	"/root/models/Dynamic_MoE"
# arg	num_proc	16
# arg	output_dir	"/mnt/data/models/fv1_arc_e_s43"
# arg	redpajama_local_dir	""
# arg	router_anchor_momentum	0.99
# arg	router_aux_loss_coef	0.01
# arg	router_budget_end_ratio	1.0
# arg	router_budget_loss_coef	0.0
# arg	router_budget_start_ratio	0.5
# arg	router_budget_target_count	0.0
# arg	router_budget_tau	0.05
# arg	router_context_scale	null
# arg	router_ema_momentum	0.99
# arg	router_entmax_alpha	1.7
# arg	router_lr_mult	1.0
# arg	router_pull_loss_coef	0.0
# arg	router_pull_loss_coef_final	null
# arg	router_pull_loss_schedule_end_ratio	1.0
# arg	router_pull_loss_schedule_start_ratio	0.5
# arg	router_pull_loss_type	"soft"
# arg	router_pull_loss_type_final	""
# arg	router_pull_loss_type_switch_ratio	0.5
# arg	router_pull_temperature	1.0
# arg	router_softmax_temperature	1.1
# arg	router_top_k	2
# arg	router_top_p_final	null
# arg	router_top_p_schedule_end_ratio	1.0
# arg	router_top_p_schedule_start_ratio	0.5
# arg	router_topk	0
# arg	router_use_ema_update	1
# arg	router_use_entmax	0
# arg	router_use_softmax_temperature	1
# arg	router_value_anchor_loss_coef	0.01
# arg	router_z_loss_coef	0.0
# arg	save_every	200
# arg	seed	43
# arg	share_router_expert_embedding	-1
# arg	stage	2
# arg	stage1_data_ratio	0.2
# arg	stage1_distill_temperature	1.0
# arg	stage1_epochs	1
# arg	stage1_grad_accum	1
# arg	stage1_kl_coef	1.0
# arg	stage1_log_every	50
# arg	stage1_logit_coef	1.0
# arg	stage1_logit_loss_type	"huber"
# arg	stage1_lr	0.0002
# arg	stage1_max_grad_norm	1.0
# arg	stage1_teacher_path	""
# arg	stage1_use_logit_loss	1
# arg	stage2_include_validation_in_train	0
# arg	stage2_init_path	"/mnt/data/models/fv1_arc_e_s43/ckpt_after_stage1"
# arg	stage2_validation_train_ratio	0.05
# arg	stage2_validation_train_split	"validation"
# arg	stage_split_seed	43
# arg	top_p_threshold	null
# arg	train_extra_params_in_fp32	1
# arg	train_max_samples	null
# arg	train_new_router_params	1
# arg	train_split	"train"
# arg	use_bnb_8bit	0
# arg	use_label	1
# arg	use_router_context	-1
# arg	warmup_ratio	0.03
# arg	weight_decay	0.0
# arg	winogrande_config	"winogrande_xl"
time	epoch	global_step	optim_step	lr	loss	loss_ce	loss_pairwise	loss_aux	loss_budget	loss_ma50	loss_ema	loss_ce_ema	eval_pairwise_acc	pairwise_coef	router_aux_loss_coef	router_top_k	expert_weight_proj_grad_norm	train_pairwise_acc	train_pairwise_margin	train_chosen_score	train_rejected_score	train_max_token_len	train_max_chosen_token_len	train_max_rejected_token_len	router_score_mean	router_score_std	router_score_min	router_score_max	router_weight_row_sum_mean	router_weight_row_sum_abs_err	router_weight_entropy	router_weight_top1_mass	route_prob_min	route_prob_has_neg	route_prob_row_sum_mean	route_prob_row_sum_abs_err	expert_embedding_pairwise_cos_mean	expert_embedding_pairwise_cos_max	expert_embedding_norm_mean	expert_embedding_norm_std	token_q_norm_mean	token_q_norm_std	dispatch_avg_selected_count	dispatch_soft_selected_count	dispatch_dead_expert_ratio	dispatch_top1_top2_margin	dispatch_topk_pre_mass_mean	dispatch_topk_post_sum_mean	dispatch_topk_post_sum_abs_err	expert_token_count_cv	dispatch_soft_load	dispatch_hard_load
1779309827.011	0	50	50	5.000000e-05	1.578324	1.526371	0.728361	1.553506	0.000000	2.223579	2.328023	2.273874		0.050000	0.010000	2	0.114982	0.500000	0.090972	-0.633385	-0.724356	104	104	104	-0.038059	1.240351	-5.264254	8.227142	1.000000	0.000000	2.124853	0.333675	0.000351	0.000000	1.000000	0.000000	-0.031672	0.567842	25.164655	4.995731	6.083932	1.418526	2.000000	2.000000	0.083333	0.198485	0.468865	1.000000	0.000000	0.994025	[0.065822, 0.060769, 0.062508, 0.070804, 0.064342, 0.055528, 0.0571, 0.070864, 0.062014, 0.062985, 0.060218, 0.068633, 0.055757, 0.050854, 0.061717, 0.070086]	[0.079527, 0.047454, 0.059371, 0.067238, 0.085286, 0.048313, 0.070964, 0.077628, 0.060086, 0.058883, 0.070765, 0.071768, 0.050845, 0.032751, 0.051206, 0.067916]
1779309905.427	0	100	100	4.989637e-05	1.531395	1.482950	0.698375	1.352709	0.000000	1.540468	1.820512	1.770206		0.050000	0.010000	2	0.092184	0.666667	0.137142	-0.687449	-0.824591	114	114	114	-0.019467	1.212607	-5.317983	7.925965	1.000000	0.000000	2.141240	0.327426	0.000503	0.000000	1.000000	0.000000	-0.031139	0.576553	25.573524	4.966433	5.945408	1.527830	2.000000	2.000000	0.078125	0.196656	0.458196	1.000000	0.000000	0.852451	[0.06139, 0.059782, 0.060264, 0.064574, 0.067761, 0.06084, 0.057962, 0.068175, 0.063583, 0.065648, 0.057515, 0.067616, 0.063911, 0.056706, 0.058539, 0.065734]	[0.067672, 0.061514, 0.050573, 0.058069, 0.10121, 0.05731, 0.056288, 0.071958, 0.056179, 0.062925, 0.048683, 0.06467, 0.076109, 0.041992, 0.054145, 0.070701]
1779309983.298	0	150	150	4.958643e-05	1.611915	1.572145	0.540009	1.276980	0.000000	1.452299	1.584621	1.537227		0.050000	0.010000	2	0.080712	0.916667	0.399208	-0.214246	-0.613454	149	149	148	-0.039626	1.256261	-5.087255	7.709057	1.000000	0.000000	2.107177	0.337928	0.000693	0.000000	1.000000	0.000000	-0.030705	0.573076	25.801216	4.890407	6.135657	1.388787	2.000000	2.000000	0.072917	0.205264	0.470591	1.000000	0.000000	0.729838	[0.059409, 0.061804, 0.06355, 0.068332, 0.067286, 0.059389, 0.0565, 0.068354, 0.063569, 0.059356, 0.056905, 0.074843, 0.058772, 0.055473, 0.063181, 0.063278]	[0.060719, 0.070539, 0.064652, 0.067808, 0.094428, 0.051948, 0.047029, 0.068459, 0.052409, 0.046224, 0.050564, 0.096083, 0.05929, 0.044859, 0.053367, 0.071624]
1779310061.386	0	200	200	4.907303e-05	1.232005	1.192838	0.543185	1.200828	0.000000	1.431054	1.483603	1.439164		0.050000	0.010000	2	0.075634	0.750000	0.600362	-0.391985	-0.992347	124	123	124	-0.011361	1.163655	-5.054310	7.640024	1.000000	0.000000	2.203016	0.301301	0.000955	0.000000	1.000000	0.000000	-0.029896	0.567140	26.043766	4.941078	5.792655	1.348047	2.000000	2.000000	0.054688	0.172789	0.429813	1.000000	0.000000	0.678065	[0.059873, 0.063913, 0.061307, 0.067869, 0.064744, 0.059181, 0.059834, 0.070515, 0.063468, 0.062054, 0.059221, 0.069701, 0.062261, 0.055496, 0.06074, 0.059821]	[0.070014, 0.068332, 0.058196, 0.06241, 0.093587, 0.052481, 0.057373, 0.069797, 0.057545, 0.057979, 0.062708, 0.081543, 0.062798, 0.041974, 0.052843, 0.05042]
1779310138.766	0	250	250	4.836092e-05	1.443799	1.397360	0.694778	1.169981	0.000000	1.394218	1.427037	1.383054		0.050000	0.010000	2	0.118708	0.583333	0.058165	-0.393159	-0.451324	125	125	120	-0.016969	1.176591	-5.219530	7.668298	1.000000	0.000000	2.178984	0.311608	0.001158	0.000000	1.000000	0.000000	-0.029422	0.572062	26.289163	4.931583	5.775795	1.407290	2.000000	2.000000	0.046875	0.184729	0.438487	1.000000	0.000000	0.634072	[0.060471, 0.063651, 0.063522, 0.067944, 0.064802, 0.058392, 0.060855, 0.06559, 0.068194, 0.0628, 0.06147, 0.066647, 0.060929, 0.055568, 0.059373, 0.059792]	[0.067681, 0.071045, 0.063043, 0.072754, 0.094817, 0.048204, 0.052617, 0.063241, 0.067627, 0.054335, 0.067265, 0.079165, 0.05551, 0.043972, 0.043168, 0.055556]
1779310215.849	0	300	300	4.745664e-05	1.205356	1.168001	0.518861	1.141174	0.000000	1.335996	1.367381	1.324280		0.050000	0.010000	2	0.078337	0.666667	0.486606	-0.234934	-0.721540	129	120	129	0.003659	1.200368	-5.297138	7.728775	1.000000	0.000000	2.164340	0.315049	0.001255	0.000000	1.000000	0.000000	-0.029788	0.566406	26.541446	4.984765	5.693156	1.432624	2.000000	2.000000	0.067708	0.190176	0.439921	1.000000	0.000000	0.587491	[0.061891, 0.065569, 0.062809, 0.072007, 0.062958, 0.058267, 0.059052, 0.067552, 0.064758, 0.064643, 0.05777, 0.062182, 0.064778, 0.055144, 0.059524, 0.061095]	[0.064752, 0.093623, 0.066551, 0.0793, 0.077447, 0.043819, 0.058069, 0.076416, 0.056008, 0.061903, 0.051251, 0.062174, 0.067889, 0.040292, 0.049579, 0.050926]
1779310293.282	0	350	350	4.636852e-05	1.232120	1.190332	0.605583	1.150862	0.000000	1.347773	1.349333	1.307186		0.050000	0.010000	2	0.081583	0.583333	0.239886	-0.451073	-0.690959	113	109	113	-0.000138	1.189131	-5.211396	8.047292	1.000000	0.000000	2.185230	0.305862	0.001194	0.000000	1.000000	0.000000	-0.029336	0.556438	26.826392	4.978233	5.652696	1.387508	2.000000	2.000000	0.052083	0.180914	0.430810	1.000000	0.000000	0.598012	[0.061444, 0.063532, 0.060041, 0.069861, 0.063212, 0.059685, 0.059851, 0.068202, 0.064365, 0.062721, 0.059746, 0.064972, 0.064201, 0.056581, 0.062227, 0.05936]	[0.068097, 0.072067, 0.052517, 0.076687, 0.072772, 0.046622, 0.061451, 0.087927, 0.058512, 0.057174, 0.058639, 0.071235, 0.065294, 0.038954, 0.054841, 0.05721]
1779310370.800	0	400	400	4.510659e-05	1.079622	1.047568	0.416252	1.124137	0.000000	1.308422	1.318031	1.277824		0.050000	0.010000	2	0.075885	1.000000	0.701516	-0.211527	-0.913043	118	118	117	-0.006562	1.191030	-5.325848	8.001389	1.000000	0.000000	2.189235	0.303067	0.001303	0.000000	1.000000	0.000000	-0.029493	0.552866	27.059568	5.119790	5.690560	1.365836	2.000000	2.000000	0.044271	0.177360	0.428774	1.000000	0.000000	0.561090	[0.064073, 0.061387, 0.05899, 0.067102, 0.063735, 0.06082, 0.062562, 0.068495, 0.063916, 0.06272, 0.056869, 0.064066, 0.065417, 0.056253, 0.063742, 0.059855]	[0.071488, 0.065529, 0.050519, 0.066497, 0.080322, 0.052047, 0.077167, 0.076434, 0.060447, 0.065086, 0.045826, 0.071922, 0.070267, 0.038547, 0.06193, 0.045971]
1779310447.943	0	450	450	4.368248e-05	1.222029	1.190799	0.408269	1.081657	0.000000	1.250515	1.273602	1.234457		0.050000	0.010000	2	0.072954	0.833333	1.064190	-0.224495	-1.288686	131	131	131	0.007179	1.198964	-5.368230	7.955486	1.000000	0.000000	2.187383	0.302375	0.001138	0.000000	1.000000	0.000000	-0.028622	0.552714	27.363123	5.126242	5.607138	1.370305	2.000000	2.000000	0.026042	0.176610	0.428140	1.000000	0.000000	0.462872	[0.064036, 0.062556, 0.060992, 0.068633, 0.061694, 0.061609, 0.058473, 0.066655, 0.063612, 0.061774, 0.060143, 0.063391, 0.062234, 0.058253, 0.064104, 0.061843]	[0.065701, 0.069264, 0.061053, 0.067066, 0.067401, 0.058928, 0.063911, 0.075304, 0.058087, 0.059697, 0.056469, 0.078595, 0.064263, 0.041974, 0.06118, 0.051107]
1779310525.005	0	500	500	4.210930e-05	1.221623	1.182094	0.574928	1.078268	0.000000	1.246639	1.253437	1.215178		0.050000	0.010000	2	0.079300	0.750000	0.394466	-0.187234	-0.581700	120	116	120	0.016021	1.251829	-5.602111	8.355635	1.000000	0.000000	2.137454	0.321481	0.001142	0.000000	1.000000	0.000000	-0.028300	0.556936	27.651142	5.171801	5.682689	1.456313	2.000000	2.000000	0.028646	0.195575	0.447387	1.000000	0.000000	0.449401	[0.060509, 0.0621, 0.060934, 0.069548, 0.064564, 0.061006, 0.060325, 0.063837, 0.063852, 0.061628, 0.060219, 0.063364, 0.06288, 0.061144, 0.061731, 0.062358]	[0.057798, 0.071949, 0.057192, 0.071398, 0.086887, 0.05655, 0.064788, 0.062491, 0.058829, 0.061523, 0.053747, 0.06675, 0.064209, 0.052427, 0.05891, 0.054552]
